Case #1: Impossible
3 31 203493
37 28 203720
32 9 203792
31 7 203983
37 26 204782
6 31 205007
9 27 205604
9 24 205745
37 14 207144
22 18 207563
23 18 207609
25 18 208290
17 22 208507
5 9 209890
17 25 210384
4 18 210935
9 36 211306
35 19 213573
16 17 215453
12 6 215749
33 11 216660
37 5 216672
20 29 216701
38 37 216799
17 7 217223
9 3 217526
9 21 217798
9 7 218016
1 19 218808
38 32 221309
4 29 221718
31 12 222479
34 9 222914
20 12 222953
35 22 223193
38 24 223262
33 18 223522
14 19 223614
13 29 224469
31 4 224576
9 19 224930
38 30 225426
33 31 225694
37 12 226832
11 29 230477
20 18 230663
17 26 231629
18 14 232265
14 11 232848
13 11 233929
17 28 235772
1 29 236485
12 22 237046
1 18 238559
17 24 239949
38 4 240204
22 37 240305
28 18 241998
6 17 242664
30 9 242943
5 17 243519
4 17 246133
18 6 246670
18 35 250249
4 9 251044
38 11 251448
35 9 251751
38 31 251986
31 14 255697
29 6 257453
12 11 259073
17 1 263626
29 22 265596
35 38 266153
29 37 266287
22 38 266553
14 9 268378
11 9 268965
29 38 269093
9 31 269503
33 17 269515
9 33 270308
38 6 275939
9 12 276107
9 1 278668
14 38 285895
9 29 286610
9 6 286779
38 12 293624
38 17 313418
17 9 317844
9 18 329991
Case #64: 31
1 6 63292
19 14 141168
14 3 186431
17 1 222880
17 4 271861
12 1 295872
15 16 335981
13 3 358289
15 2 389181
2 14 402292
18 15 434111
2 6 475984
14 10 488946
2 8 534856
3 6 542459
8 7 550175
4 2 567058
13 16 567753
4 16 572032
1 7 574296
3 1 605751
5 18 607057
1 10 625930
13 17 629774
2 16 639052
4 19 646309
3 8 664522
10 12 684914
12 13 702766
4 14 708529
9 19 749713
Case #65: Impossible
Case #66: Impossible
Case #67: Impossible
Case #68: 351
45 37 9171
4 18 10312
46 27 12693
15 39 12962
15 24 13683
14 3 20966
34 48 22431
47 6 26119
4 15 36337
19 30 41719
21 24 43289
7 15 45091
18 15 46649
30 1 46727
39 5 50410
24 5 51131
33 26 57478
28 39 60247
45 4 62388
27 16 67455
12 35 67520
42 38 67737
37 4 71559
28 21 76891
30 41 77542
31 34 79650
43 4 84198
26 36 85806
34 8 90237
43 32 92268
7 43 92952
35 16 93181
36 47 93206
32 25 93558
18 28 93934
6 40 94139
18 43 94510
28 43 95146
27 47 97050
14 18 97771
45 15 98725
46 28 102015
48 24 104378
33 34 104859
39 23 107170
24 22 108878
6 12 110619
3 26 111623
46 15 111839
38 43 113126
21 1 116114
5 1 116765
47 26 118449
3 18 118737
15 32 119303
33 44 120049
4 1 122845
46 31 123225
16 15 124313
35 38 124484
21 22 124801
46 24 125522
12 22 125784
30 24 127454
22 5 127601
1 26 127659
32 17 127814
41 9 128433
3 4 129049
21 2 129493
48 47 130887
30 15 131120
7 1 131599
15 33 131705
3 32 133963
31 16 135699
48 7 135786
31 27 135918
47 35 136217
37 23 136604
16 24 137996
48 32 138729
42 34 138741
2 26 139448
22 7 140286
35 28 140434
21 46 141445
23 43 142069
33 4 142118
8 11 143596
24 8 143636
9 5 144563
7 2 144978
45 23 145775
8 16 146286
28 19 146703
20 34 147321
5 41 147580
2 43 147748
30 46 148056
27 2 148335
34 4 149463
14 45 149847
16 14 150920
43 29 151479
33 18 152430
16 21 153919
38 34 154097
32 14 154929
32 29 155125
36 48 155618
45 36 155706
29 46 156043
3 23 157166
9 7 159397
43 27 159449
21 8 159559
34 13 159922
6 10 160141
15 26 160507
16 4 160650
30 21 160726
16 33 160908
9 18 160955
32 34 161160
38 25 161490
28 9 161591
29 5 161892
42 15 162096
8 5 162359
17 1 162724
35 39 163220
6 24 164043
16 47 164505
30 29 166942
45 22 167996
29 9 168224
48 19 168631
2 22 169158
39 17 169920
27 14 170023
25 29 171071
18 27 171181
48 38 171392
12 28 171406
14 2 171633
19 45 172254
35 17 172755
8 43 172772
25 47 173223
39 26 173469
5 25 175413
22 1 175779
24 42 175779
40 21 176496
33 7 176796
22 37 177167
28 8 177238
8 29 177678
18 30 177769
28 30 178405
25 40 178511
32 6 179092
29 14 179448
35 21 179864
49 46 179879
43 35 179999
1 23 180716
16 22 181044
22 27 181263
37 19 181425
14 5 181868
19 14 184831
23 48 184903
29 19 185027
33 1 185137
45 1 185233
36 9 185667
27 25 185787
43 25 185826
34 40 185916
4 6 186697
45 29 187497
36 27 189455
16 40 190064
24 47 190162
9 17 190522
20 46 190896
6 30 190909
27 3 190989
27 49 192572
31 12 192616
12 39 194192
3 5 194387
36 39 194460
15 13 194596
8 33 195096
10 4 196053
33 2 196926
18 6 197009
49 29 197140
20 41 197249
4 38 197324
39 41 197990
15 11 199137
23 38 199742
42 25 200455
22 33 200976
33 12 201148
3 47 202566
38 44 202975
42 33 203159
27 9 203510
47 19 203586
28 17 204243
40 15 204256
41 48 204454
16 38 205010
24 31 206459
37 38 207142
27 1 207476
18 36 207782
28 38 208272
23 9 208514
25 44 208587
6 19 208994
8 1 210537
28 47 211758
19 8 212068
7 12 212287
24 11 212820
14 22 213691
34 37 214734
16 13 215971
23 36 216494
13 18 216562
36 4 217835
44 16 218245
42 30 218320
16 23 218521
38 13 219257
39 10 219428
45 35 219888
32 33 220047
14 41 220654
20 15 222122
32 44 222254
45 16 223038
37 30 223144
48 44 224882
44 37 226343
31 43 227693
18 12 227879
38 1 228388
30 31 228993
32 12 229264
13 47 230990
10 27 231072
48 17 232318
31 47 232968
38 49 233798
3 22 234657
42 49 234755
20 39 235084
42 19 236405
11 5 236439
2 38 236741
31 11 237048
44 27 237348
8 20 237558
31 7 237867
35 44 238338
31 3 238654
42 23 238707
2 20 239388
12 17 240275
4 40 240593
8 32 241970
46 10 243765
7 11 244228
29 20 245193
2 47 245385
10 24 246073
11 28 246422
32 36 248375
14 8 248449
40 37 248498
5 44 249193
25 35 249312
40 18 250905
44 40 251201
21 20 251728
13 2 251989
14 12 252107
17 34 254749
7 44 256836
23 12 257578
20 5 257955
36 22 258182
10 41 258334
25 10 258435
30 36 260192
10 21 261996
31 41 264920
49 26 265503
25 36 266429
22 10 266809
40 49 267312
37 10 267612
10 44 267974
43 20 268368
20 42 274577
11 26 274774
13 32 275110
11 29 275855
19 36 278277
20 49 279628
28 10 279675
25 11 280609
17 14 282743
40 20 283838
11 1 284617
8 17 286911
41 44 287979
33 17 288663
10 30 290542
45 31 291501
20 19 292876
20 9 294563
41 8 307695
19 10 308627
9 11 312415
10 1 313635
2 49 315521
32 11 318294
4 49 328055
10 17 329500
11 30 330111
32 49 339752
49 36 340432
41 13 340835
10 9 341433
11 3 343495
49 11 345110
49 17 350763
17 13 351554
25 49 352973
11 17 356095
41 11 366626
49 13 378044
20 17 379080
Case #69: Impossible
Case #70: 31
11 1 33905
15 5 147069
1 17 197909
14 17 202740
10 6 213681
11 14 215032
17 11 231814
2 17 237380
13 6 254745
8 3 263024
1 8 297453
8 9 305570
16 4 333514
2 11 343568
2 14 348733
6 1 389841
7 10 394872
10 14 396002
6 4 403230
12 13 403961
6 2 429312
6 5 451570
13 5 493322
1 7 498411
16 10 557153
7 6 565086
18 13 637048
7 15 669779
12 7 722122
18 2 811615
18 3 838454
Case #71: 62
6 7 23799
1 4 55975
7 13 59733
9 5 71557
12 5 86018
6 1 104368
5 2 125539
7 12 127041
1 7 128167
4 13 148685
6 5 149258
6 10 153675
9 12 157575
10 1 174075
7 10 177474
5 14 186749
13 12 186774
2 9 197096
12 2 211557
6 9 220815
9 10 221217
13 5 232790
4 9 233555
13 10 237207
7 14 237866
7 9 244614
4 12 248016
9 14 258306
6 14 261665
12 14 272767
5 10 280098
7 8 285370
4 2 287537
11 12 290712
10 12 304515
8 9 305810
6 8 309169
14 2 312288
8 12 320271
6 11 336975
11 1 338738
8 13 345103
4 14 348747
13 2 358329
11 7 360774
14 1 366033
11 5 376730
8 4 396251
2 10 405637
10 14 415340
13 11 420507
10 8 462844
3 7 474164
3 8 475677
3 6 497963
3 14 506153
3 11 533857
14 11 563479
3 1 602331
3 10 651638
4 3 658306
2 3 772760
Case #72: 69
15 1 1364
15 7 51149
8 1 59042
7 12 61965
12 11 67240
14 13 69889
5 18 72480
17 11 81332
15 11 87548
11 1 88912
1 10 89181
7 13 89872
13 1 95404
15 2 105959
15 6 111392
8 7 111555
10 9 120467
16 12 126688
13 11 133286
4 7 137964
15 16 146996
10 8 148223
12 17 148572
1 3 150895
7 2 157108
6 7 162541
2 8 166365
17 15 168880
1 17 170244
2 11 176118
3 7 180116
9 14 184133
10 16 186511
16 7 188653
4 15 189113
10 2 193776
4 12 199929
2 13 199999
7 9 204116
10 17 208395
3 16 209450
7 17 210537
3 9 216934
12 6 224506
8 17 229286
16 2 235566
9 11 247530
8 4 249519
2 17 257450
2 3 258218
16 6 258388
9 12 266081
9 16 306978
1 5 309710
9 2 314243
13 18 319053
9 17 328862
18 1 382190
18 14 388942
13 5 391533
5 2 417033
3 18 421743
5 6 422466
17 5 426231
8 18 441232
18 2 489513
17 18 498711
5 4 500187
18 4 537352
Case #73: Impossible
Case #74: Impossible
Case #75: 547
23 29 6360
3 17 8437
4 44 10945
1 29 12675
13 2 14224
2 29 17145
23 7 17498
37 22 18861
13 50 19668
2 23 23505
13 7 26779
45 32 28402
23 50 28949
9 5 29482
11 33 30338
21 12 34335
29 26 37606
37 1 37934
13 6 39362
45 9 40710
11 47 42770
23 36 43276
1 26 44439
21 39 45818
22 13 47041
4 19 47481
50 37 47848
23 6 48643
38 44 49039
49 25 50879
20 17 51579
36 50 53663
33 9 54234
9 31 54673
11 9 55498
32 33 55706
44 32 57950
19 44 58426
3 46 59054
4 9 59313
28 48 59663
1 12 60060
21 29 60516
7 36 60774
7 26 61464
42 25 62167
17 1 62748
3 13 64065
33 38 64617
32 16 65797
7 6 66141
22 50 66709
21 23 66876
29 3 66986
15 49 67916
32 47 68138
23 15 69236
27 25 69640
10 1 70049
45 5 70192
44 9 70258
34 50 72428
12 29 72735
46 39 72992
47 33 73108
21 1 73191
13 27 73654
7 22 73820
26 6 74047
31 38 75892
47 38 77049
21 2 77661
2 3 78289
3 36 78552
23 12 79095
15 2 80021
23 17 81783
3 27 82076
44 11 83318
43 38 83331
5 33 83716
50 3 83733
2 12 84038
10 17 84074
31 5 84155
12 36 84301
31 32 84803
18 50 85195
30 45 85904
22 6 86403
7 15 86734
26 34 87445
9 30 87632
46 38 88272
10 23 89084
35 18 89319
3 7 90844
21 37 91617
17 50 92170
22 48 93117
27 50 93322
19 32 94486
22 5 94920
13 46 95331
17 24 95981
7 12 96593
17 15 97025
32 46 97183
46 49 97450
20 1 97453
37 12 97994
46 30 99081
7 17 99281
10 50 99471
30 23 99483
26 15 100482
10 47 101281
25 31 101820
46 20 102196
33 4 102711
38 29 104366
4 30 104507
49 12 104611
13 18 104863
19 45 105066
1 46 105085
48 31 105119
6 15 105159
34 17 105754
20 6 105768
39 29 106334
17 26 107187
30 31 107288
13 24 107379
17 41 107449
29 49 107609
18 29 107784
1 42 108213
25 22 108526
31 33 108907
38 48 108968
6 12 109176
13 39 109255
9 29 109269
31 11 110171
2 30 110268
22 3 111106
49 39 111374
41 10 112783
32 29 113277
31 4 113986
3 12 114371
49 1 114442
4 47 115143
21 24 115424
24 11 115442
9 23 115629
30 50 115712
42 31 115928
1 9 116102
12 22 116855
31 22 116971
7 30 116981
48 41 117292
12 38 117464
15 38 117806
43 47 117937
24 45 118476
34 15 118557
18 2 119087
42 23 119464
22 17 119543
31 17 119622
21 38 120166
9 24 120204
49 27 120519
41 16 120605
22 27 120695
38 50 121113
34 27 121161
2 24 121603
11 46 122551
47 18 123160
16 30 123299
20 37 123618
41 37 123659
9 22 124402
34 14 124507
32 2 124580
10 31 124956
21 35 125876
50 9 126016
47 44 126088
4 46 126366
1 41 126412
31 29 126914
31 35 126975
7 38 128224
35 1 128613
15 30 128615
10 28 129025
31 15 129311
37 38 129625
46 26 130016
32 50 130024
12 10 130109
26 20 130123
9 48 130187
39 7 130192
23 45 130217
9 21 130580
24 20 130686
30 26 130729
21 27 131249
20 15 131730
39 3 132046
25 13 132119
42 2 132191
44 43 132370
36 42 132454
35 38 132767
31 16 132778
37 19 132807
15 9 132940
37 18 133043
7 9 133127
31 23 133274
15 27 133609
25 23 134013
28 11 134352
9 37 134528
25 29 135040
2 45 135160
5 13 135830
2 28 136413
6 25 136474
49 48 137075
15 45 137297
44 46 137311
27 12 138215
2 31 138217
35 13 138367
36 31 138480
11 29 138645
49 36 138683
41 12 138745
29 5 138751
46 5 138973
26 49 139373
21 45 139657
16 43 140217
50 45 140604
30 19 140746
6 38 140807
9 26 141033
36 24 141374
17 45 141480
9 3 141512
6 48 141798
20 41 142154
46 22 142372
36 39 143250
49 4 143284
11 22 143541
49 35 144025
49 6 144050
9 42 144398
7 4 144597
11 23 145005
5 23 145111
8 17 145427
15 10 145600
38 22 145621
9 6 145710
50 19 145711
46 24 146598
4 48 147062
36 47 147089
38 34 147125
38 3 147326
8 10 147598
35 23 147648
46 34 148091
3 4 148182
46 25 148329
15 19 148439
24 30 148623
23 4 148820
1 4 149293
39 27 149400
24 5 149686
12 24 149759
48 43 149856
11 2 149948
33 19 150192
41 36 150653
7 31 150772
12 31 150918
32 34 151390
46 10 151565
2 35 152591
42 26 152652
31 49 152699
22 28 152780
48 17 152816
33 46 152889
8 11 152925
2 8 153137
4 2 153763
35 9 153986
40 50 154422
45 36 154931
34 5 155388
12 4 155558
45 26 155621
38 17 155763
50 41 155834
22 39 156296
25 9 156493
3 49 156504
34 49 157448
20 12 157513
46 35 157770
10 49 157986
48 44 158007
21 4 158260
12 43 158357
14 40 158365
31 26 158678
21 5 160062
34 24 160139
1 44 160238
1 28 160391
19 26 160728
13 19 160987
7 47 161134
29 16 161252
15 5 162422
50 44 162497
24 41 162704
33 29 162918
6 31 163355
27 30 163856
17 32 164674
31 28 164782
42 22 165008
22 45 165112
35 7 165146
38 42 165617
21 48 165873
11 18 165930
42 48 166054
12 44 166503
35 37 166547
34 45 166616
15 44 166845
17 44 167564
23 16 167612
4 37 167719
21 18 168300
13 43 168460
38 28 168631
47 26 169040
21 44 169205
10 42 169274
33 23 169278
32 10 169419
26 40 169439
5 36 169825
23 19 170268
11 26 170409
5 26 170515
18 15 170660
20 42 170741
18 28 170946
20 44 171661
31 39 172769
16 36 172967
26 35 173052
6 47 173717
22 33 173879
5 42 173880
13 40 174090
33 2 174221
16 12 174350
21 14 175043
38 27 175099
20 39 175188
2 19 175211
41 6 175528
3 47 176298
39 9 176398
42 11 176905
40 29 177011
13 14 177267
15 14 177403
28 7 177416
1 43 178214
6 8 178275
8 32 178293
27 18 178517
17 19 178563
44 37 178664
6 4 178901
37 33 179283
16 34 179290
50 33 179665
10 24 180055
39 45 180755
41 27 181088
3 11 181605
12 47 182288
15 33 182423
35 3 182924
44 25 183218
33 8 183263
22 4 183715
40 1 183844
32 27 184010
45 42 185108
7 16 185110
22 35 185408
25 5 185975
7 33 186046
43 22 186514
32 25 186623
19 3 187000
47 34 187115
34 43 188018
28 45 188122
14 42 188861
8 18 189519
6 44 189846
11 17 190042
20 38 190468
19 49 190765
18 32 191298
17 35 191361
20 30 191482
19 39 191897
26 16 193016
20 45 193059
25 4 194163
19 48 194543
26 33 194682
47 15 194855
35 25 194904
36 19 194982
43 15 195052
7 43 195239
41 8 195528
11 39 195543
45 10 195993
46 8 196044
30 49 196531
25 45 197203
21 47 197215
46 48 197240
35 33 197384
18 25 197646
16 6 197693
24 42 197912
6 33 199359
20 32 199379
20 18 200301
40 7 200869
25 8 202422
22 16 202507
34 28 203397
43 3 203624
28 3 204042
14 7 204046
45 8 206695
28 4 206725
14 22 207232
41 14 207913
25 30 209108
43 28 209519
44 39 210303
48 39 211691
40 44 211857
14 26 211952
28 24 213118
4 27 213193
20 5 214136
44 42 214656
35 43 216098
6 14 216629
20 28 217627
44 14 219374
18 45 219700
8 34 220121
39 14 220861
42 16 222503
4 40 222802
18 42 222830
28 27 224291
16 28 225517
15 8 225578
28 42 225717
33 39 225881
20 35 226066
14 18 227592
21 8 227938
43 8 228092
19 20 230087
24 35 231752
9 40 232296
43 27 234088
14 9 236953
39 47 238313
39 43 238510
20 43 239289
28 40 240173
18 5 240693
43 18 241097
49 43 244161
8 42 244290
14 49 245319
19 14 245799
40 17 246592
40 10 249872
14 25 251028
40 30 252100
30 8 253617
18 16 257095
8 40 258746
28 39 259892
35 28 260265
14 48 262627
14 20 264966
33 40 265495
5 14 266435
32 14 267083
8 39 269036
20 40 269528
19 8 272779
40 41 274796
49 40 278778
8 35 278838
24 40 281469
14 33 291187
40 42 292057
14 11 292451
43 14 299065
14 28 322290
14 8 340863
Case #76: 11
6 2 152246
5 2 163419
4 1 171419
3 6 195678
7 8 423016
4 6 471215
3 8 560556
4 3 586769
5 1 622201
1 7 634756
6 8 756234
Case #77: 188
41 3 7936
27 3 13204
11 4 19010
17 25 19321
23 37 31628
41 7 32430
27 7 37698
4 5 40487
24 20 47265
11 5 59497
3 18 69686
41 37 71407
30 39 72217
37 3 79343
34 28 92350
16 31 93476
39 18 94210
39 3 102592
22 37 102863
4 37 109705
3 23 110971
19 22 112086
7 24 116563
6 7 117761
39 28 118059
4 18 119362
32 7 119992
30 25 121879
23 17 121908
17 24 122191
6 40 123645
31 17 124539
39 31 125475
42 14 127585
37 11 128715
36 28 130099
19 42 130808
42 25 131621
21 30 133181
33 5 135214
26 3 135428
6 31 135432
30 35 136024
21 13 138351
4 23 141333
24 25 141512
6 1 142571
10 12 146074
21 15 146792
19 40 150769
21 12 152034
31 37 152087
3 25 152254
32 41 152422
39 1 152528
21 26 154218
30 36 159589
22 21 172524
36 10 173703
39 15 174748
20 22 175301
7 26 175794
35 18 183088
16 12 184555
33 24 186312
28 17 187042
32 34 189507
6 22 197373
1 22 200265
15 37 201544
25 1 202190
36 6 203179
12 42 203180
33 37 204432
23 1 205453
42 41 206676
19 24 208117
24 10 208767
18 33 214089
19 37 214949
17 5 216582
1 21 217172
35 6 218198
42 34 219572
3 19 221488
34 36 222449
11 6 223225
35 33 223517
24 12 225313
41 1 228026
4 24 229408
39 13 234960
10 26 235168
5 2 235667
15 33 238117
15 5 240726
5 36 241143
36 41 243332
14 20 246612
6 26 247977
24 11 248418
41 29 249046
30 13 249824
35 36 254113
21 36 254186
19 25 255099
19 14 258393
20 26 258890
21 29 259900
19 15 259922
39 19 264457
40 10 266115
1 40 266216
35 4 266613
5 13 268122
32 35 273760
30 32 274749
20 1 276299
32 25 277458
17 14 278527
19 33 280945
4 15 281213
31 33 283190
3 10 284964
26 25 287682
2 21 288242
15 32 288360
28 13 289021
2 11 295164
38 41 296546
32 17 296779
2 18 297156
1 19 298667
16 10 299711
11 15 300223
11 36 300640
8 35 300956
32 19 301114
29 4 304496
31 10 305645
36 19 310329
28 14 310828
8 20 311016
37 29 315841
14 7 315910
9 3 317138
6 14 318825
4 8 319467
1 15 327276
25 33 327824
10 22 330354
39 29 337138
16 2 340045
13 19 341049
32 11 344625
42 8 345031
2 34 346335
34 14 347157
8 41 347884
26 42 350040
24 9 355695
32 42 359098
8 30 362570
10 5 363999
31 29 366088
29 15 369112
16 38 372010
10 32 374816
29 26 376538
34 9 378376
37 9 380609
16 9 384666
32 29 401468
38 39 404009
25 8 405263
38 6 413966
10 13 414751
30 38 418873
39 8 424604
28 2 426105
13 9 436699
9 12 450382
8 32 500306
29 38 545592
9 14 555042
8 2 581937
9 2 586590
38 8 628553
Case #78: 530
40 3 8
13 35 1255
23 27 3610
21 20 3805
1 13 4337
1 35 5592
16 39 9135
27 16 12234
4 29 12908
37 34 13732
38 1 14348
10 21 14991
13 4 16305
26 11 16629
35 4 17560
24 14 18755
19 40 20454
17 33 20820
29 15 23650
4 12 25343
30 15 25762
32 21 27919
32 16 28626
12 35 30315
35 29 30468
29 20 30706
24 41 31362
32 23 33181
12 1 33397
1 29 33550
21 29 34511
8 4 34943
11 41 35066
37 16 36129
27 32 36791
35 16 37190
39 32 37761
29 12 38251
13 16 38445
23 5 40013
36 27 41581
5 24 42487
9 10 42647
1 16 42782
15 38 42852
10 32 42910
27 5 43623
39 36 44680
23 36 45191
37 39 45264
8 15 45685
35 39 46325
5 39 46722
41 27 46802
2 14 47314
4 21 47419
13 39 47580
2 18 48147
37 27 48363
29 30 49412
35 27 49424
34 16 49861
2 21 49923
41 14 50117
8 13 51248
4 9 51515
26 41 51695
1 39 51917
8 35 52503
8 20 52741
13 15 52863
35 23 53034
38 21 53713
2 20 53728
36 16 53815
15 35 54118
13 23 54289
20 15 54356
27 1 55016
8 1 55585
5 16 55857
4 39 56544
21 8 56546
41 21 57382
1 23 58626
34 39 58996
16 41 59036
20 13 59919
41 2 59921
12 8 60286
13 2 60299
38 27 60690
23 21 61100
41 20 61187
14 5 61242
35 2 61554
34 27 62095
30 4 62320
4 10 62410
29 32 62430
4 23 63253
41 10 64203
23 38 64300
23 20 64905
21 39 65680
23 34 65705
11 24 66428
11 37 66843
13 32 67071
16 12 67505
9 13 67820
20 27 68515
29 18 68542
24 23 68590
12 20 68957
9 35 69075
39 29 69452
38 2 70310
5 2 71046
1 32 71408
8 30 71447
16 10 71536
24 27 72200
21 12 72762
10 15 73152
5 32 73194
37 35 73319
41 5 73849
3 18 74448
40 18 74456
40 39 74647
38 41 75275
24 39 75299
23 29 76161
2 4 76604
41 8 76613
12 39 76640
32 38 77082
2 9 77405
3 27 77754
32 2 77842
4 26 78426
32 34 78487
19 16 78614
13 30 78625
10 13 78715
1 37 78911
27 10 79701
35 42 79815
20 40 79909
3 20 79917
10 35 79970
20 30 80118
42 13 81070
40 23 81356
23 3 81364
4 18 81450
41 4 81569
19 42 81817
27 11 81868
1 18 82944
1 30 82962
1 10 83052
24 26 83057
4 24 83258
26 37 83472
40 21 83714
21 3 83722
32 8 84465
24 1 84521
37 38 84585
26 38 84720
29 42 84857
14 18 84916
39 11 84967
38 6 85055
14 11 85183
42 1 85407
9 32 85557
32 15 86080
19 35 86143
34 35 87051
19 13 87398
18 38 87744
19 39 87749
9 30 88019
34 13 88306
41 36 88383
2 12 89359
36 37 89944
8 18 90577
27 14 90955
38 42 91081
26 29 91334
8 39 91487
6 29 91669
19 1 91735
15 18 92192
36 13 92260
24 8 92385
22 23 92786
15 39 93102
41 9 93185
8 28 93723
24 15 94000
39 14 94054
40 32 94138
32 3 94146
23 19 94458
19 18 94894
11 4 95055
37 41 95165
22 24 95260
35 26 95986
27 15 96201
20 11 96253
1 36 96597
2 23 97149
4 42 97375
38 19 97409
23 8 98196
34 38 98317
26 27 98497
5 1 98639
40 10 98705
10 3 98713
2 16 98744
20 18 99248
11 10 99269
6 1 99403
22 39 99495
23 15 99811
2 27 100759
14 37 100883
20 14 101042
36 4 101224
40 37 101641
24 32 101771
26 23 102107
35 40 102702
35 3 102710
34 36 103676
29 37 103787
39 2 103858
40 13 103957
3 13 103965
12 6 104104
5 38 104313
34 5 105718
24 9 105964
9 16 106265
21 36 106291
21 34 106406
18 12 106793
18 9 107149
19 32 107240
13 14 107613
11 29 107963
39 9 108059
15 2 108084
3 1 108302
38 14 108307
42 15 108507
22 16 108630
11 18 108644
36 6 109028
17 2 109209
30 3 109373
36 20 110096
12 42 110130
34 20 110211
40 29 110615
13 11 111360
2 26 111616
8 11 111679
30 32 111842
14 10 112228
15 14 112755
31 20 112836
5 29 112837
8 26 113369
8 6 113704
6 15 113731
24 36 113781
40 38 113968
3 38 113976
22 14 114015
18 16 114542
34 14 114615
19 37 114743
26 15 114984
17 30 115037
34 40 115373
3 34 115381
20 42 115563
28 29 115758
10 26 115898
12 19 116458
29 19 116611
33 24 116948
12 34 117366
34 29 117519
30 18 117954
28 10 118006
32 11 118659
30 39 118864
19 10 119159
18 5 119193
36 3 119335
21 42 119368
37 24 119638
30 24 119762
17 29 120953
6 18 121267
36 10 121282
36 12 121320
40 5 121369
5 3 121377
20 6 122375
2 3 122595
2 40 122603
6 21 123043
12 5 123362
36 11 123449
41 3 124556
18 33 124701
26 18 125273
23 30 125573
8 37 125822
18 32 125989
39 42 126140
14 12 127356
15 37 127437
9 11 128251
34 19 128475
28 42 128734
27 42 129239
30 19 129819
9 6 130276
23 18 130386
40 31 131004
3 31 131012
11 15 131613
16 31 131668
36 14 132536
40 8 132650
8 3 132658
23 42 132849
28 16 132867
30 2 133846
17 4 133861
15 3 134273
38 28 134322
19 5 134471
26 32 135288
33 14 135703
36 8 136167
5 15 136487
28 20 136802
17 24 137768
22 36 137977
21 33 138312
27 6 138404
30 14 138517
28 23 138877
28 2 138994
28 15 139408
6 30 139493
17 38 140155
19 15 140261
1 7 140605
26 30 140746
15 34 141169
30 41 141305
9 40 141352
3 9 141360
17 9 141607
29 33 141773
33 20 142117
36 2 142340
37 9 142394
31 29 143542
27 31 143902
33 1 144351
7 13 144942
18 17 145521
42 32 145631
12 25 146503
13 22 147075
31 23 147512
5 9 148451
34 2 148605
24 3 149954
13 17 150166
18 37 150671
32 6 150962
22 1 151412
17 35 151421
31 19 151458
20 17 151659
36 9 152739
42 37 153134
37 30 153199
12 28 153371
22 21 153886
4 33 154681
9 19 155218
21 17 155464
22 34 155860
22 4 156039
31 4 156450
6 26 157187
11 19 157318
11 30 157375
17 40 158089
5 7 158263
38 33 158699
14 40 159372
5 33 159435
11 40 159614
3 26 161135
24 28 161352
6 33 161509
9 33 162427
31 38 162744
24 19 163048
33 8 163808
34 18 164403
28 30 165170
25 38 165552
8 31 165577
22 29 165610
33 32 166231
42 41 166356
2 31 166564
37 31 167797
11 6 168107
31 35 168858
41 17 169130
37 6 169640
41 28 170336
10 17 170455
4 25 171846
18 22 171966
5 42 172862
42 14 173962
7 12 174002
41 31 174023
40 22 174142
29 7 174155
9 31 174279
25 13 175563
42 26 175801
22 12 176135
42 6 176136
35 25 176818
40 7 178333
3 7 178341
5 28 178890
3 33 178901
40 33 178909
14 19 179810
25 1 179900
25 21 180291
6 17 182329
34 28 182728
6 34 183372
33 11 183376
32 17 183383
29 25 184754
8 22 187645
16 17 188611
42 31 188786
27 33 189148
22 15 189260
17 39 190405
39 33 192247
11 42 192430
27 17 193504
6 3 195715
40 6 195723
7 8 196190
6 22 196939
23 17 197114
15 7 197805
19 7 198787
9 22 201224
7 21 203890
17 11 204196
7 20 204861
31 18 205460
28 26 207092
6 28 207427
25 26 207895
9 25 207947
25 32 208210
33 22 208378
11 31 209089
22 7 211036
7 32 212013
26 17 212287
31 14 213878
7 41 213888
33 28 215548
10 7 218881
40 25 219991
17 34 220002
25 27 226242
6 7 227087
2 25 228062
25 23 229852
36 33 230729
28 22 231663
7 34 233248
17 36 235085
31 6 235211
7 26 239673
31 22 240298
7 33 242356
28 7 245688
11 7 248954
6 25 250607
25 18 253296
25 24 255104
25 5 269865
28 25 283306
33 25 294547
25 31 296932
25 7 320505
22 25 322638
Case #79: Impossible
Case #80: Impossible
Case #81: 2
4 1 197108
9 4 445726
Case #82: 205
21 3 4524
20 4 16202
22 9 25024
5 3 35915
20 26 36007
5 21 40439
3 2 43714
21 2 48238
16 3 48568
16 21 53092
10 21 61854
10 3 66378
3 22 69147
11 26 71184
16 5 73165
22 21 73671
20 1 74664
2 5 79629
12 3 80673
27 9 82032
12 21 85197
20 14 85296
18 24 88515
1 4 90866
16 2 92282
4 13 92839
24 17 93107
3 9 94171
16 1 99061
20 24 99079
14 4 101498
4 7 107660
23 11 108313
11 1 109841
10 2 110092
1 26 110671
13 11 111814
26 13 112644
16 10 114946
17 13 115549
26 14 121303
20 15 121997
20 7 123862
15 26 125600
3 27 126155
3 18 127795
12 16 129241
9 5 130086
11 24 134256
24 26 135086
22 10 135525
13 7 137927
12 10 147051
3 1 147629
22 12 149820
13 1 151301
21 1 152153
26 9 154305
11 7 159039
4 22 159524
